country,"Unemployment, total (% of total labor force)",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated
Costa Rica,0.36717724710631106,-0.016942678969231947,0.394207836571728,0.2480263518453224,,,0.16006933945587637,0.04398128151534301,-0.43077795701310895,-0.42092992363620996
Croatia,-0.20089060801572858,0.1735190279207637,,-0.5708386599536537,,,-0.46748797883465865,0.6845282544161682,-0.10436975705013196,
Cuba,0.9728251262154295,,,-0.7615430812564539,,,-0.3119979559342116,0.5934556606234194,-0.209630084774709,0.14262335880625832
Cyprus,0.6252241492271817,-0.7371504276312874,0.7370985747495106,0.8639410766194436,,0.792989153768192,-0.33408284964580276,0.5036315850224699,-0.22492664610962204,
Czech Republic,-0.36549952935883123,,-0.5368972675249499,,,,,,,
Denmark,0.1430788262752298,-0.13593831293788905,-0.7645190260708771,-0.8729017050726174,0.14700608588994227,,-0.4731365537163836,0.6130582645168294,-0.09501334878989313,
Dominica,,,,,,,,,,
Ecuador,-0.46809887959801616,-0.304042340552362,-0.157001283206663,0.28441841320967737,-0.5069042334460396,,0.6184743731289515,-0.49584022021829344,-0.5873598715838835,-0.361322700814669
El Salvador,0.5192685745454945,,0.6051615906059481,0.28805567299164303,,,0.48373556611899143,-0.11445207881287273,-0.6750768739839587,-0.7588864485672864
Estonia,0.20275101150374578,0.5320865773162938,0.46179495314464275,0.052179198594700285,,,-0.25099487692518063,0.46585492354341057,-0.23083309199623442,0.4538148642455705
Fiji,0.2974109758542132,,,0.03999888960322424,,,,,,
Finland,0.63020465512494,0.9274017196813762,-0.7872038808921349,-0.8345652701863876,,,-0.15511550333007587,0.4200077946803331,-0.3621219355359584,
France,0.48175223484529767,0.8762125758062405,-0.25408626748598706,-0.7947892676059113,,-0.9632132274932876,-0.465382323158769,0.6480368988254525,-0.17354364070797615,
Georgia,0.06653163612633683,,-0.1717703937183764,-0.2151958103957549,,,-0.34634038964415087,0.5674055233814338,-0.2072670348078645,
Germany,-0.012847795362989028,0.9269240224124554,-0.730397915422639,-0.6870633470269221,0.7411495099333355,0.8047384042512217,-0.5132760536641723,0.5991559521900854,-0.061832910605949976,
Greece,0.8977237251862026,-0.5476610501788022,0.6703466122844048,0.05973943822345582,,,-0.2874113798238189,0.5034754813654886,-0.27484491110332565,0.0768960604439013
Grenada,,,,-0.4289057589081535,,,,,,
Guatemala,0.3724491266292763,,,0.44468208183805974,0.6297519308975147,,,,,
Guyana,-0.12021736559400502,,,0.37369215569745656,,,,,,
Hungary,0.3191102176513125,0.0921262506312319,-0.16124793224390396,-0.5171971133522731,-0.6171510746470273,,-0.4128229832026063,0.5830071882577263,-0.14513619578590028,0.28656350029487365
Iceland,-0.2289567195015418,0.00956010615265798,-0.26897454295944195,-0.111423770592322,,,0.021654011277498504,0.1377000784167398,-0.4174661526016615,0.28291798704552334
Ireland,-0.35712364555943726,-0.6034694716848118,-0.26423204349943163,-0.3381249827449656,,,0.10135857778705526,0.19030943953022478,-0.4282642604531227,0.18044860279643507
Israel,0.6940889502541705,0.045713965473829964,,-0.39488682688736915,0.41375508387387455,,-0.11392191104974907,0.31960307853876674,-0.2878974087020793,-0.11101252949472537
Italy,0.613875666781498,0.6634061343818785,0.0686079267573964,-0.7650168865283796,-0.7091800820311807,0.04191248353028856,-0.4844766400431798,0.6632408824141406,-0.177045925531873,0.4608640869628873
Jamaica,-0.3205079546446346,,,-0.17774810462140603,,,-0.0029354159811462253,0.10313131882301536,-0.18019637843194192,0.272667033393991
Japan,0.8707515070002413,-0.5213886189500281,,0.08854609415404771,0.4740064263005416,,-0.30886014493043734,0.5318119626670943,-0.19888808459641782,
Kazakhstan,0.7991681972375019,,0.7246588490685542,-0.1330873511649013,-0.5786744866395763,,0.04704280875580669,0.4914155241933398,-0.46772681555588885,
Kiribati,,,,,,,,,,
Kuwait,-0.36526684602515747,,,0.28223935981877846,,,0.2964039460844333,0.13407958323790214,-0.35683484346054317,
Kyrgyzstan,,,,-0.5311305308916245,-0.29716430334760674,,0.19148186699001324,0.33484572945763186,-0.5290359364215476,0.12246313899505974
Latvia,0.5262796495614255,0.6238538156799179,0.6518603783883693,-0.29923573377744517,,-0.7116590634044856,-0.28568487713139906,0.5086755091468596,-0.2510651677861011,
Lithuania,0.5759516998195848,-0.7608834740510333,0.051797229687375865,-0.5970107451305108,-0.4576703205657665,-0.5927825453010255,-0.2634903689347087,0.4712980063266159,-0.29662190397003735,
Luxembourg,-0.7761613146884149,0.7785788096167803,-0.7232654185630595,-0.44980241669453286,,,-0.42439214009985754,0.4939934817086732,-0.17742698402950474,0.3870647370144461
Macau,,,,,,,,,,
Maldives,-0.20204871973116487,,,-0.7016935409254349,,,,,,
Malta,0.2558428495673284,-0.46166888430265823,0.4157340559905899,0.3107808197417421,,,-0.1097373192146599,0.2677760359088803,-0.30216440582500914,0.21587362713619376
