country,Unemployment Rate (% of total labor force),Avg. Annual Working Hours (/worker),Gini Index,Health Expenditure (% of GDP),Life Satisfaction (Cantril Scale), Education Level (ISCED >=4 ),Proportion Single (Never married),Proportion Married,Proportion Widowed (Not remarried),Proportion Married (Separated)
Norway,0.663128302,0.827798987,-0.320409098,-0.348218119,,-0.805463082,-0.114379845,0.39515268,-0.455759234,0.269630022
Oman,,,,,,,0.212545511,0.285823753,-0.401264147,
Panama,0.746610563,,0.404252525,-0.211125916,-0.136825679,,0.460500361,-0.063155829,-0.479833012,-0.77224585
Paraguay,-0.813175657,,-0.253501434,0.661911139,,,0.771801081,-0.503914698,-0.679221989,-0.715796196
Philippines,0.086592694,-0.230715541,,0.729231916,,,0.572627219,-0.132527772,-0.633542629,
Poland,-0.094722659,-0.580902785,0.021381256,0.629731733,,,-0.136092846,0.413437397,-0.353993856,0.276739446
Portugal,0.514248874,-0.134743955,,0.702774289,,,-0.529706425,0.664320042,-0.084872445,-0.04427343
Puerto Rico,0.432640636,,,,,,-0.237879341,0.599201713,-0.329269023,0.073301262
Qatar,0.139103592,,,-0.344466978,,,0.24358203,0.161080243,-0.306835021,
Republic of Korea,,,,,,,-0.16467801,0.431897628,-0.294332619,0.536794703
Romania,0.07529019,0.358534042,0.328870767,-0.269554142,-0.843034018,-0.230698318,-0.224886162,0.482075932,-0.30253614,
Russian Federation,0.647734868,,0.046554475,,,,-0.127960951,0.42114139,-0.302273322,0.274667071
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,0.071880604,,-0.155924073,,,-0.003406654,-0.01877543,-0.282696379,-0.181808428
Saint Vincent and Grenadines,,,,,,,,,,
San Marino,,,,,,,-0.039921779,0.144631681,-0.215546173,
Serbia,-0.50770618,,,-0.814597808,,,-0.524489752,0.573659294,-0.019082602,0.051960557
Seychelles,,,,0.432422943,,,-0.046590506,-0.039044386,-0.29328611,-0.242092989
Singapore,-0.25054027,-0.46314464,,-0.201507281,,-0.892039504,-0.182933108,0.531617106,-0.359600415,
Slovakia,,0.169305225,,-0.392968655,,,-0.184324475,0.381086905,-0.265992356,
Slovenia,-0.255519337,0.758092332,-0.257972284,-0.733425616,,,-0.331286862,0.55557128,-0.229866089,
South Africa,-0.573779105,-0.353295703,,-0.178844464,-0.423888673,0.325760307,0.446992031,-0.286164233,-0.476865584,-0.442454887
Spain,0.142746681,-0.008082608,-0.023845591,-0.633281114,-0.030559914,-0.225105945,-0.444657877,0.579700084,-0.146396321,0.30336032
Sri Lanka,,0.431331556,,,,,0.080098998,0.223943253,-0.553302607,0.044385707
Suriname,-0.59083161,,,-0.809177071,,,0.234453182,0.264980569,-0.467356688,
Sweden,-0.037273771,-0.609731547,-0.758052242,-0.666587493,-0.03361542,-0.967122381,-0.335802784,0.599428155,-0.265612882,
Switzerland,-0.761699931,0.881070617,0.497642889,-0.884997718,,,-0.540937706,0.684949521,-0.11957215,0.560297278
Thailand,0.566374226,0.03873222,0.176543236,-0.421260876,0.119108263,,0.228969257,0.146860665,-0.561089159,-0.144865019
Trinidad and Tobago,-0.302371276,-0.076805584,,-0.515475425,,,0.198478761,0.094112797,-0.490458762,-0.084726431
Turkey,,,,,,,0.177555319,0.200969098,-0.544602551,
Turkmenistan,0.537142364,,,0.636058911,,,,,,
Ukraine,0.24221659,,0.875214335,-0.483434166,,,-0.353555986,,-0.219443765,
United Arab Emirates,,,,,,,,,,
United Kingdom,0.60857464,0.773464071,-0.192855371,-0.286563222,-0.510296488,,,,,
United States,0.578852241,-0.627399075,-0.064117067,0.714011965,-0.675315877,,,,,
Uruguay,0.184322099,-0.746536218,0.126282744,-0.46073908,,,-0.239979842,0.496826801,-0.305696872,0.140053861
Uzbekistan,0.413371352,,,0.341590296,,,,,,
Global,0.071347983,-0.286720042,-0.457351871,0.152683714,-0.017176375,0.337634352,-0.114772592,0.189660847,-0.070260397,-0.039695994
